dataset,model,perturbation,requested_severity,mean_realized_severity,clean_accuracy,clean_macro_f1,mean_accuracy,accuracy_std,mean_macro_f1,macro_f1_std,mean_drop,drop_std,drop_ci_lower,drop_ci_upper,accuracy_retention,retention_std,relative_accuracy_drop,relative_drop_std
hwu64,tfidf_logreg,typo,0.2,0.2016241299303944,0.8308550185873605,0.8252101219652914,0.7477695167286245,0.00738573138546993,0.7422366445359792,0.008291179508420166,0.083085501858736,0.00738573138546993,0.07780206790649581,0.0883689358109762,0.9,0.008889314284972735,0.09999999999999995,0.008889314284972756
hwu64,tfidf_logreg,char_delete,0.2,0.2022305705564687,0.8308550185873605,0.8252101219652914,0.7570631970260223,0.010706348386762236,0.7535000736476825,0.01152334427610181,0.07379182156133825,0.010706348386762236,0.06613296130514,0.0814506818175365,0.9111856823266219,0.012885940563933078,0.08881431767337802,0.012885940563933072
hwu64,tfidf_logreg,word_delete,0.2,0.20011118832522587,0.8308550185873605,0.8252101219652914,0.7427509293680297,0.009998088106044271,0.7371108865534375,0.010656135072504362,0.08810408921933081,0.009998088106044271,0.08095188784616889,0.09525629059249274,0.8939597315436243,0.012033493067230018,0.10604026845637579,0.01203349306723002
