dataset,model,perturbation,requested_severity,mean_realized_severity,clean_accuracy,clean_macro_f1,mean_accuracy,accuracy_std,mean_macro_f1,macro_f1_std,mean_drop,drop_std,drop_ci_lower,drop_ci_upper,accuracy_retention,retention_std,relative_accuracy_drop,relative_drop_std
hwu64,char_tfidf_svm,typo,0.4,0.4023636890951276,0.8773234200743495,0.8755509297159767,0.746096654275093,0.009725609353332616,0.7420358847541598,0.013022290527549777,0.13122676579925655,0.009725609353332616,0.12426948398357716,0.1381840476149359,0.8504237288135593,0.011085546254434218,0.14957627118644073,0.011085546254434211
hwu64,char_tfidf_svm,char_delete,0.4,0.4052829302653205,0.8773234200743495,0.8755509297159767,0.8152416356877324,0.006741744985742475,0.8129527299322283,0.007106108480462886,0.062081784386617156,0.0067417449857424755,0.05725903055277318,0.06690453822046113,0.929237288135593,0.0076844466151047685,0.07076271186440684,0.007684446615104769
hwu64,char_tfidf_svm,word_delete,0.4,0.4004725503822099,0.8773234200743495,0.8755509297159767,0.6614312267657991,0.01856178537891183,0.6566015582948146,0.016692743566529777,0.2158921933085502,0.01856178537891183,0.2026138919506003,0.22917049466650008,0.7539194915254239,0.02115728926664104,0.2460805084745763,0.021157289266641024
