dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
hwu64,char_tfidf_svm,typo,1,1,0.1,0.09643271461716937,0.8447955390334573,0.8437449112245151,0.032527881040892215,0.031806018491461585,0.9629237288135593,0.0370762711864407
hwu64,char_tfidf_svm,typo,2,7,0.1,0.1031032482598608,0.8568773234200744,0.8541293922650292,0.020446096654275103,0.021421537450947548,0.9766949152542372,0.023305084745762723
hwu64,char_tfidf_svm,typo,3,21,0.1,0.10005800464037123,0.8447955390334573,0.8409632103150453,0.032527881040892215,0.034587719400931416,0.9629237288135593,0.0370762711864407
hwu64,char_tfidf_svm,typo,4,42,0.1,0.10353828306264501,0.8420074349442379,0.8376311617831587,0.03531598513011158,0.03791976793281804,0.9597457627118643,0.04025423728813566
hwu64,char_tfidf_svm,typo,5,84,0.1,0.09817285382830626,0.8466542750929368,0.8424698838691717,0.03066914498141271,0.033081045846805046,0.9650423728813559,0.03495762711864415
hwu64,char_tfidf_svm,typo,6,123,0.1,0.10150812064965198,0.8503717472118959,0.8462619580115119,0.02695167286245359,0.02928897170446476,0.9692796610169491,0.03072033898305091
hwu64,char_tfidf_svm,typo,7,256,0.1,0.1031032482598608,0.8475836431226765,0.8473916319164142,0.029739776951672958,0.0281592977995625,0.9661016949152541,0.03389830508474587
hwu64,char_tfidf_svm,typo,8,512,0.1,0.10498839907192575,0.8550185873605948,0.8517693135953777,0.02230483271375472,0.023781616120599036,0.9745762711864406,0.025423728813559403
hwu64,char_tfidf_svm,typo,9,1024,0.1,0.09817285382830626,0.8578066914498141,0.8577881106190686,0.01951672862453535,0.017762819096908133,0.9777542372881356,0.022245762711864445
hwu64,char_tfidf_svm,typo,10,2026,0.1,0.09831786542923433,0.8531598513011153,0.8544263721988263,0.024163568773234223,0.021124557517150366,0.972457627118644,0.027542372881355956
hwu64,char_tfidf_svm,char_delete,1,1,0.1,0.09767551068325898,0.8643122676579925,0.8630353565967157,0.013011152416356975,0.012515573119260992,0.9851694915254237,0.01483050847457638
hwu64,char_tfidf_svm,char_delete,2,7,0.1,0.11152852782343273,0.8633828996282528,0.8607813195501346,0.013940520446096727,0.014769610165842106,0.9841101694915253,0.01588983050847466
hwu64,char_tfidf_svm,char_delete,3,21,0.1,0.10190185489551538,0.8587360594795539,0.8582764114134411,0.0185873605947956,0.01727451830253557,0.9788135593220338,0.02118644067796617
hwu64,char_tfidf_svm,char_delete,4,42,0.1,0.1044846208030054,0.8652416356877324,0.8632135391623282,0.012081784386617112,0.012337390553648464,0.986228813559322,0.013771186440677978
hwu64,char_tfidf_svm,char_delete,5,84,0.1,0.09204038506691711,0.8652416356877324,0.8624871648065939,0.012081784386617112,0.013063764909382769,0.986228813559322,0.013771186440677978
hwu64,char_tfidf_svm,char_delete,6,123,0.1,0.10072787039211083,0.8605947955390335,0.8594956081747637,0.016728624535315983,0.01605532154121303,0.9809322033898306,0.01906779661016949
hwu64,char_tfidf_svm,char_delete,7,256,0.1,0.10589340220709087,0.8661710037174721,0.8635146846325732,0.01115241635687736,0.012036245083403507,0.9872881355932203,0.012711864406779702
hwu64,char_tfidf_svm,char_delete,8,512,0.1,0.10495421460436723,0.8596654275092936,0.8583118954581149,0.017657992565055847,0.017239034257861774,0.9798728813559321,0.020127118644067892
hwu64,char_tfidf_svm,char_delete,9,1024,0.1,0.09767551068325898,0.8578066914498141,0.8555135820224762,0.01951672862453535,0.020037347693500518,0.9777542372881356,0.022245762711864445
hwu64,char_tfidf_svm,char_delete,10,2026,0.1,0.09955388588870627,0.8652416356877324,0.864365537790052,0.012081784386617112,0.011185391925924715,0.986228813559322,0.013771186440677978
hwu64,char_tfidf_svm,word_delete,1,1,0.1,0.10215427380125087,0.8317843866171004,0.8347837007434654,0.04553903345724908,0.04076722897251128,0.948093220338983,0.05190677966101696
hwu64,char_tfidf_svm,word_delete,2,7,0.1,0.09687282835302294,0.8336431226765799,0.8315734837639662,0.043680297397769574,0.043977445952010474,0.9502118644067796,0.0497881355932204
hwu64,char_tfidf_svm,word_delete,3,21,0.1,0.10326615705350937,0.8364312267657993,0.8362926778864685,0.040892193308550207,0.03925825182950815,0.9533898305084746,0.046610169491525445
hwu64,char_tfidf_svm,word_delete,4,42,0.1,0.09701181375955524,0.8392193308550185,0.8359275879338519,0.03810408921933095,0.03962334178212479,0.9565677966101694,0.043432203389830615
hwu64,char_tfidf_svm,word_delete,5,84,0.1,0.09965253648366922,0.8317843866171004,0.8253033680256244,0.04553903345724908,0.05024756169035227,0.948093220338983,0.05190677966101696
hwu64,char_tfidf_svm,word_delete,6,123,0.1,0.10062543432939541,0.8355018587360595,0.8330071449038083,0.04182156133828996,0.04254378481216836,0.9523305084745762,0.04766949152542372
hwu64,char_tfidf_svm,word_delete,7,256,0.1,0.10687977762334955,0.8308550185873605,0.8254452510301519,0.04646840148698894,0.05010567868582483,0.9470338983050847,0.052966101694915356
hwu64,char_tfidf_svm,word_delete,8,512,0.1,0.10229325920778318,0.837360594795539,0.8362526180204642,0.039962825278810454,0.039298311695512456,0.9544491525423728,0.04555084745762717
hwu64,char_tfidf_svm,word_delete,9,1024,0.1,0.09812369701181375,0.828996282527881,0.8275792786471269,0.048327137546468446,0.04797165106884982,0.9449152542372881,0.05508474576271191
hwu64,char_tfidf_svm,word_delete,10,2026,0.1,0.09715079916608756,0.8252788104089219,0.8187360291704862,0.052044609665427566,0.05681490054549054,0.9406779661016949,0.05932203389830515
