perturbation,severity,severity_percent,mean_realized_severity,realized_severity_std,mean_accuracy,accuracy_std,mean_macro_f1,macro_f1_std,mean_drop,drop_std
char_delete,0.05,5,0.050814532489088335,0.001574026376770464,0.8414285714285714,0.0036707302035844207,0.8407919837146824,0.0035814222071133797,0.017337662337662308,0.0036707302035844194
char_delete,0.1,10,0.10013524313026372,0.0016577643130337972,0.824935064935065,0.003614783419591779,0.8246280518485634,0.0035508793015342054,0.03383116883116878,0.003614783419591743
char_delete,0.2,20,0.2006885104813426,0.003240257298374229,0.7892207792207793,0.004961386478010631,0.7893415189643529,0.005102167240979929,0.0695454545454545,0.004961386478010657
char_delete,0.3,30,0.2997356611544845,0.0034924195153661656,0.7446753246753246,0.00620423500514168,0.7447161674312259,0.006764656073062564,0.11409090909090906,0.00620423500514169
char_delete,0.4,40,0.4003995819757792,0.004225803211615154,0.6963311688311689,0.008765632495012103,0.6969883655511392,0.008811596286351787,0.1624350649350649,0.008765632495012093
typo,0.05,5,0.05070129010916309,0.0011324726369954785,0.8394805194805194,0.002952780818664066,0.8390034976554815,0.0027993714070475052,0.01928571428571426,0.002952780818664064
typo,0.1,10,0.10066821038703275,0.001278397997791867,0.8162337662337663,0.003835507607504178,0.8156253828655708,0.003688553871381274,0.04253246753246748,0.003835507607504175
typo,0.2,20,0.20060866688719817,0.0017607474291961268,0.7648051948051948,0.00418090836454499,0.7642427265671811,0.004118559850443944,0.09396103896103894,0.004180908364544978
typo,0.3,30,0.298617267614952,0.003018978512394283,0.707987012987013,0.005368227196519115,0.7077794053619757,0.004572347513974295,0.15077922077922074,0.005368227196519119
typo,0.4,40,0.3991597750578895,0.002368799664522208,0.6385389610389611,0.004825553572334875,0.6385774352700136,0.005078775080443377,0.22022727272727272,0.0048255535723348755
word_delete,0.05,5,0.05057212308057153,0.0010679957037203905,0.8354220779220778,0.0038914414141394643,0.834961989983565,0.003838367902060457,0.023344155844155813,0.0038914414141394747
word_delete,0.1,10,0.10042094029762258,0.001538504288278795,0.8102597402597402,0.005235679740722042,0.8098157473782777,0.005143238764454843,0.04850649350649346,0.00523567974072204
word_delete,0.2,20,0.2001600758878283,0.0017658834784712886,0.7551298701298701,0.006402317869846628,0.754907616567694,0.006264650693724227,0.10363636363636361,0.006402317869846621
word_delete,0.3,30,0.3001037528902591,0.002156737238102065,0.6916883116883117,0.0067190275233560805,0.6919255052167133,0.0064764948703164614,0.16707792207792205,0.006719027523356076
word_delete,0.4,40,0.40097527716843545,0.0021179622577915634,0.6198701298701299,0.005288211471053607,0.62118588393346,0.005333703431968045,0.23889610389610386,0.005288211471053627
