perturbation,mean_realized_severity,mean_accuracy,accuracy_std,min_accuracy,max_accuracy,mean_drop,drop_std,drop_ci_lower,drop_ci_upper
typo,0.20060866688719817,0.6851298701298701,0.0051285456854195405,0.6779220779220779,0.6928571428571428,0.16551948051948054,0.0051285456854195405,0.1618507399458296,0.16918822109313147
char_delete,0.2006885104813426,0.7391883116883117,0.004342646254122784,0.7334415584415584,0.7474025974025974,0.11146103896103896,0.004342646254122784,0.10835449697296458,0.11456758094911333
word_delete,0.2001600758878283,0.6964285714285714,0.004380109598451957,0.689935064935065,0.702922077922078,0.1542207792207792,0.004380109598451957,0.1510874375706182,0.1573541208709402
