perturbation,severity,severity_percent,run,seed,realized_severity,eligible_units,affected_units,accuracy,macro_f1,accuracy_drop,macro_f1_drop
word_delete,0.2,20,3,21,0.1994130550779629,33734,6727,0.7662337662337663,0.765807304288327,0.09253246753246747,0.09225337601853334
word_delete,0.2,20,4,42,0.20125096341969526,33734,6789,0.7587662337662338,0.7579646120646448,0.09999999999999998,0.10009606824221551
word_delete,0.2,20,5,84,0.197841939882611,33734,6674,0.7512987012987012,0.7520876799108077,0.10746753246753249,0.10597300039605262
word_delete,0.2,20,6,123,0.2023774233710796,33734,6827,0.7522727272727273,0.752350243056754,0.10649350649350642,0.10571043725010631
word_delete,0.2,20,7,256,0.20225884863935495,33734,6823,0.7457792207792208,0.7452479799124195,0.11298701298701297,0.1128127003944408
word_delete,0.2,20,8,512,0.1982273077607162,33734,6687,0.7633116883116883,0.7626153659130795,0.09545454545454546,0.09544531439378079
word_delete,0.2,20,9,1024,0.197664077785024,33734,6668,0.7551948051948052,0.7558960220090578,0.10357142857142854,0.10216465829780252
word_delete,0.2,20,10,2026,0.20071737712693424,33734,6771,0.7577922077922078,0.7572908508851719,0.10097402597402594,0.10076982942168844
word_delete,0.3,30,1,1,0.3009723128001423,33734,10153,0.6922077922077922,0.6920919648618216,0.16655844155844157,0.16596871544503877
word_delete,0.3,30,2,7,0.2989861860437541,33734,10086,0.6928571428571428,0.6931895657764421,0.1659090909090909,0.16487111453041825
word_delete,0.3,30,3,21,0.3024841406296318,33734,10204,0.6957792207792208,0.6954241983376677,0.1629870129870129,0.16263648196919267
word_delete,0.3,30,4,42,0.2983933123851307,33734,10066,0.7,0.7001998102899352,0.15876623376623378,0.15786087001692517
word_delete,0.3,30,5,84,0.30269164641015,33734,10211,0.6775974025974026,0.6786707697820875,0.1811688311688311,0.17938991052477282
word_delete,0.3,30,6,123,0.2991344044584099,33734,10091,0.6866883116883117,0.6874382963120116,0.17207792207792205,0.17062238399484875
word_delete,0.3,30,7,256,0.3007944507025553,33734,10147,0.686038961038961,0.6859408928979638,0.17272727272727273,0.17211978740889655
word_delete,0.3,30,8,512,0.29833402501926837,33734,10064,0.6993506493506494,0.6995313859292959,0.15941558441558434,0.15852929437756447
word_delete,0.3,30,9,1024,0.296496116677536,33734,10002,0.6935064935064935,0.6942300659767695,0.16525974025974022,0.16383061433009083
word_delete,0.3,30,10,2026,0.3027509337760123,33734,10213,0.6928571428571428,0.6925381020031376,0.1659090909090909,0.16552257830372274
word_delete,0.4,40,1,1,0.40149404161973085,33734,13544,0.6220779220779221,0.6230371302828555,0.23668831168831161,0.23502355002400488
word_delete,0.4,40,2,7,0.3994486274974803,33734,13475,0.6214285714285714,0.6210091905608346,0.2373376623376623,0.23705148974602575
word_delete,0.4,40,3,21,0.4019090531807672,33734,13558,0.6233766233766234,0.6264117567971251,0.23538961038961037,0.2316489235097352
word_delete,0.4,40,4,42,0.40119760479041916,33734,13534,0.6142857142857143,0.6156711129069506,0.2444805194805194,0.2423895673999097
word_delete,0.4,40,5,84,0.4013161795221438,33734,13538,0.6253246753246753,0.6266939275400827,0.23344155844155845,0.23136675276677765
word_delete,0.4,40,6,123,0.401523685302662,33734,13545,0.6077922077922078,0.6093265582548281,0.25097402597402596,0.24873412205203227
word_delete,0.4,40,7,256,0.4003379379854153,33734,13505,0.6181818181818182,0.6197153055730216,0.24058441558441557,0.23834537473383877
word_delete,0.4,40,8,512,0.40001185747317247,33734,13494,0.6198051948051948,0.6215086342575472,0.23896103896103893,0.23655204604931312
word_delete,0.4,40,9,1024,0.3970771328629869,33734,13395,0.6233766233766234,0.6254506397709244,0.23538961038961037,0.23261004053593592
word_delete,0.4,40,10,2026,0.4054366514495761,33734,13677,0.6230519480519481,0.6230345833904299,0.23571428571428565,0.2350260969164304
