model,condition,severity,realized_severity,accuracy,macro_f1,accuracy_drop
DistilBERT,clean,0.0,0.0,0.8506493506493507,0.8424108148265075,0.0
DistilBERT,typo,0.2,0.20264637777042674,0.6814935064935065,0.6755365108735443,0.16915584415584417
DistilBERT,char_delete,0.2,0.2044630232987029,0.7386363636363636,0.730287084436627,0.11201298701298701
DistilBERT,word_delete,0.2,0.20125096341969526,0.6977272727272728,0.6918959774681239,0.1529220779220779
