perturbation,severity,severity_percent,run,seed,accuracy,accuracy_drop
char_delete,0.3,30,7,256,0.7422077922077922,0.11655844155844153
char_delete,0.3,30,8,512,0.7422077922077922,0.11655844155844153
char_delete,0.3,30,9,1024,0.7366883116883117,0.12207792207792201
char_delete,0.3,30,10,2026,0.7457792207792208,0.11298701298701297
char_delete,0.4,40,1,1,0.7123376623376624,0.14642857142857135
char_delete,0.4,40,2,7,0.6970779220779221,0.16168831168831166
char_delete,0.4,40,3,21,0.7032467532467532,0.1555194805194805
char_delete,0.4,40,4,42,0.7016233766233766,0.15714285714285714
char_delete,0.4,40,5,84,0.7107142857142857,0.148051948051948
char_delete,0.4,40,6,123,0.7003246753246753,0.15844155844155838
char_delete,0.4,40,7,256,0.7042207792207792,0.15454545454545454
char_delete,0.4,40,8,512,0.6935064935064935,0.16525974025974022
char_delete,0.4,40,9,1024,0.6967532467532468,0.16201298701298694
char_delete,0.4,40,10,2026,0.7,0.15876623376623378
word_delete,0.05,5,1,1,0.8048701298701298,0.053896103896103886
word_delete,0.05,5,2,7,0.7993506493506494,0.059415584415584366
word_delete,0.05,5,3,21,0.8055194805194805,0.05324675324675321
word_delete,0.05,5,4,42,0.801948051948052,0.05681818181818177
word_delete,0.05,5,5,84,0.8032467532467532,0.055519480519480524
word_delete,0.05,5,6,123,0.8097402597402598,0.04902597402597397
word_delete,0.05,5,7,256,0.799025974025974,0.05974025974025976
word_delete,0.05,5,8,512,0.810064935064935,0.04870129870129869
word_delete,0.05,5,9,1024,0.8097402597402598,0.04902597402597397
word_delete,0.05,5,10,2026,0.8103896103896104,0.048376623376623296
word_delete,0.1,10,1,1,0.8003246753246753,0.058441558441558406
word_delete,0.1,10,2,7,0.8077922077922078,0.050974025974025894
word_delete,0.1,10,3,21,0.800974025974026,0.05779220779220773
word_delete,0.1,10,4,42,0.8025974025974026,0.05616883116883109
word_delete,0.1,10,5,84,0.7993506493506494,0.059415584415584366
word_delete,0.1,10,6,123,0.801948051948052,0.05681818181818177
word_delete,0.1,10,7,256,0.8022727272727272,0.056493506493506485
word_delete,0.1,10,8,512,0.8061688311688312,0.05259740259740253
word_delete,0.1,10,9,1024,0.7967532467532468,0.062012987012986964
word_delete,0.1,10,10,2026,0.8038961038961039,0.05487012987012985
word_delete,0.2,20,1,1,0.7574675324675325,0.10129870129870122
word_delete,0.2,20,2,7,0.7581168831168831,0.10064935064935066
word_delete,0.2,20,3,21,0.7665584415584416,0.09220779220779218
word_delete,0.2,20,4,42,0.7616883116883116,0.0970779220779221
word_delete,0.2,20,5,84,0.7568181818181818,0.1019480519480519
word_delete,0.2,20,6,123,0.7685064935064935,0.09025974025974026
word_delete,0.2,20,7,256,0.7681818181818182,0.09058441558441555
word_delete,0.2,20,8,512,0.7610389610389611,0.09772727272727266
word_delete,0.2,20,9,1024,0.7704545454545455,0.08831168831168823
word_delete,0.2,20,10,2026,0.7746753246753246,0.0840909090909091
word_delete,0.3,30,1,1,0.6928571428571428,0.1659090909090909
word_delete,0.3,30,2,7,0.6961038961038961,0.16266233766233762
word_delete,0.3,30,3,21,0.6964285714285714,0.16233766233766234
word_delete,0.3,30,4,42,0.7055194805194805,0.1532467532467532
word_delete,0.3,30,5,84,0.7,0.15876623376623378
word_delete,0.3,30,6,123,0.7,0.15876623376623378
word_delete,0.3,30,7,256,0.700974025974026,0.1577922077922077
word_delete,0.3,30,8,512,0.7006493506493506,0.1581168831168831
word_delete,0.3,30,9,1024,0.6866883116883117,0.17207792207792205
word_delete,0.3,30,10,2026,0.702922077922078,0.15584415584415579
word_delete,0.4,40,1,1,0.6399350649350649,0.21883116883116882
word_delete,0.4,40,2,7,0.6288961038961038,0.2298701298701299
word_delete,0.4,40,3,21,0.6275974025974026,0.23116883116883113
word_delete,0.4,40,4,42,0.6357142857142857,0.22305194805194806
word_delete,0.4,40,5,84,0.6211038961038962,0.23766233766233757
word_delete,0.4,40,6,123,0.6298701298701299,0.22889610389610382
word_delete,0.4,40,7,256,0.6308441558441559,0.22792207792207786
word_delete,0.4,40,8,512,0.6311688311688312,0.22759740259740258
word_delete,0.4,40,9,1024,0.6350649350649351,0.22370129870129862
word_delete,0.4,40,10,2026,0.6373376623376623,0.22142857142857142
