perturbation,mean_accuracy,accuracy_std,min_accuracy,max_accuracy,mean_drop,drop_std,drop_ci_lower,drop_ci_upper
typo,0.770422077922078,0.00428399217663525,0.7636363636363637,0.7753246753246753,0.08834415584415581,0.00428399217663525,0.08527957245547549,0.09140873923283613
char_delete,0.7711688311688312,0.0050734379362538115,0.7633116883116883,0.7785714285714286,0.08759740259740255,0.0050734379362538115,0.08396808373268982,0.09122672146211527
word_delete,0.8051948051948052,0.0062019691696512565,0.7948051948051948,0.8133116883116883,0.05357142857142853,0.0062019691696512565,0.04913480709530135,0.0580080500475557
