condition,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_relative_drop
clean,0.8587662337662337,0.8580606803068603,0.0,0.0,0.0
typo,0.7746753246753246,0.7732723481494785,0.0840909090909091,0.0847883321573818,0.09792060491493386
char_delete,0.7707792207792208,0.770758978059092,0.08798701298701295,0.08730170224776834,0.10245746691871452
word_delete,0.7964285714285714,0.7959168693345856,0.06233766233766236,0.06214381097227473,0.07258979206049151
case,0.8587662337662337,0.8580606803068603,0.0,0.0,0.0
punctuation,0.8587662337662337,0.8580606803068603,0.0,0.0,0.0
