dataset,model,perturbation,requested_severity,mean_realized_severity,clean_accuracy,mean_accuracy,accuracy_std,mean_drop,drop_std,accuracy_retention,relative_accuracy_drop
banking77,tfidf_logreg,typo,0.2,0.2006086668871981,0.8587662337662337,0.7648051948051948,0.0041809083645449,0.0939610389610389,0.0041809083645449,0.8905860113421551,0.10941398865784492
banking77,tfidf_logreg,char_delete,0.2,0.2006885104813426,0.8587662337662337,0.7892207792207793,0.0049613864780106,0.0695454545454545,0.0049613864780106,0.9190170132325143,0.08098298676748576
banking77,tfidf_logreg,word_delete,0.2,0.2001600758878283,0.8587662337662337,0.7551298701298702,0.0064023178698466,0.1036363636363636,0.0064023178698466,0.8793194706994331,0.12068052930056707
clinc150,tfidf_logreg,typo,0.2,0.200680292142773,0.8893333333333333,0.7898,0.0035454331219116,0.0995333333333333,0.0035454331219116,0.8880809595202398,0.11191904047976008
clinc150,tfidf_logreg,char_delete,0.2,0.2007262629499092,0.8893333333333333,0.8136666666666666,0.003311450807001,0.0756666666666666,0.003311450807001,0.9149175412293853,0.08508245877061463
clinc150,tfidf_logreg,word_delete,0.2,0.2003555820960343,0.8893333333333333,0.7842444444444444,0.0026696485385937,0.1050888888888888,0.0026696485385937,0.8818340829585207,0.11816591704147916
hwu64,tfidf_logreg,typo,0.2,0.2016241299303944,0.8308550185873605,0.7477695167286245,0.0073857313854699,0.083085501858736,0.0073857313854699,0.8999999999999999,0.09999999999999994
hwu64,tfidf_logreg,char_delete,0.2,0.2022305705564687,0.8308550185873605,0.7570631970260223,0.0107063483867622,0.0737918215613382,0.0107063483867622,0.911185682326622,0.08881431767337798
hwu64,tfidf_logreg,word_delete,0.2,0.2001111883252258,0.8308550185873605,0.7427509293680297,0.0099980881060442,0.0881040892193308,0.0099980881060442,0.8939597315436241,0.10604026845637578
