dataset,perturbation,tfidf_logreg,tfidf_svm,retention_difference
banking77,char_delete,0.9190170132325142,0.9198687568355816,0.0008517436030673897
banking77,typo,0.8905860113421552,0.8930003645643456,0.002414353222190413
banking77,word_delete,0.879319470699433,0.8814801312431644,0.0021606605437314297
clinc150,char_delete,0.9149175412293854,0.917654230675445,0.002736689446059648
clinc150,typo,0.8880809595202399,0.8900999756157034,0.0020190160954635106
clinc150,word_delete,0.8818340829585208,0.8872713972201902,0.005437314261669379
hwu64,char_delete,0.911185682326622,0.9127567567567568,0.0015710744301348223
hwu64,typo,0.9,0.8952432432432433,-0.004756756756756686
hwu64,word_delete,0.8939597315436243,0.8885405405405405,-0.005419191003083745
