perturbation,n_training_seeds,mean_clean_accuracy,training_seed_sd_clean_accuracy,mean_clean_macro_f1,training_seed_sd_clean_macro_f1,mean_accuracy,training_seed_sd_accuracy,mean_within_seed_accuracy_std,mean_macro_f1,training_seed_sd_macro_f1,mean_accuracy_drop,training_seed_sd_accuracy_drop,mean_accuracy_retention,training_seed_sd_retention,mean_within_seed_retention_std
clean,3,0.8493506493506494,0.0059513970064361335,0.8411659387185985,0.007114064505836312,0.8493506493506494,0.0059513970064361335,0.0,0.8411659387185985,0.007114064505836312,0.0,0.0,1.0,0.0,0.0
typo,3,0.8493506493506494,0.0059513970064361335,0.8411659387185985,0.007114064505836312,0.6904329004329005,0.008059821070671193,0.006010159188495785,0.6818367620381148,0.008885186496307497,0.15891774891774887,0.0057701239266367416,0.8128907128906508,0.0068276247712452595,0.00707336105503963
char_delete,3,0.8493506493506494,0.0059513970064361335,0.8411659387185985,0.007114064505836312,0.7431168831168832,0.004759235280878805,0.004722714730606567,0.7343113726209078,0.005633948418699063,0.10623376623376618,0.005179258391922712,0.87493785431692,0.0055882351836709365,0.005563259680739309
word_delete,3,0.8493506493506494,0.0059513970064361335,0.8411659387185985,0.007114064505836312,0.6955411255411256,0.004449986939691244,0.005477465952387326,0.6905019017796951,0.0059455749733170575,0.15380952380952376,0.0015038228305351707,0.8189116163115716,0.0005086470877671488,0.00645440248189465
