dataset,lr_clean_accuracy,svm_clean_accuracy,clean_accuracy_gain,lr_mean_perturbed_accuracy,svm_mean_perturbed_accuracy,perturbed_accuracy_gain,lr_mean_retention,svm_mean_retention,retention_difference,lr_mean_relative_drop,svm_mean_relative_drop,relative_drop_difference
banking77,0.8587662337662337,0.8905844155844156,0.03181818181818186,0.7697186147186148,0.7998484848484849,0.030129870129870118,0.8963074984247008,0.8981164175476972,0.0018089191229964108,0.10369250157529923,0.10188358245230279,-0.0018089191229964385
clinc150,0.8893333333333333,0.9113333333333332,0.02199999999999991,0.7959037037037037,0.8186888888888889,0.02278518518518524,0.894944194569382,0.898341867837113,0.003397673267730994,0.10505580543061797,0.10165813216288706,-0.0033976732677309107
hwu64,0.8308550185873605,0.8596654275092936,0.028810408921933095,0.7491945477075589,0.7727075588599752,0.02351301115241633,0.9017151379567488,0.898846846846847,-0.0028682911099018327,0.0982848620432512,0.1011531531531531,0.002868291109901902
