dataset,perturbation,n,mean_accuracy_difference,accuracy_difference_std,accuracy_difference_ci_lower,accuracy_difference_ci_upper,mean_retention_difference,retention_difference_std,retention_difference_ci_lower,retention_difference_ci_upper
banking77,char_delete,10,0.06512987012987011,0.0048113333903487526,0.06168804956215688,0.06857169069758334,0.058507679946027735,0.005389006412423183,0.054652616992580616,0.062362742899474854
banking77,typo,10,0.05782467532467535,0.004248300771386513,0.054785624029223504,0.06086372662012719,0.05082147451611422,0.004700839479347131,0.047458696530703705,0.054184252501524734
banking77,word_delete,10,0.0071103896103896225,0.006326218140610894,0.002584885774826722,0.011635893445952523,-0.005115188714428731,0.007039508792674615,-0.010150949943909733,-7.942748494772951e-05
clinc150,char_delete,10,0.05284444444444444,0.0030895194311576293,0.050634335383235266,0.05505455350565361,0.05254460540602938,0.0033834557828655164,0.05012422694571015,0.054964983866348606
clinc150,typo,10,0.043066666666666684,0.004447899891305191,0.03988483076235535,0.04624850257097802,0.042029025354228686,0.00486041969980529,0.03855209055605711,0.045505960152400264
clinc150,word_delete,10,0.0006666666666667043,0.0027337247536660812,-0.001288922214891281,0.0026222555482246896,-0.004220960750743019,0.003001716330068363,-0.006368259257222342,-0.0020736622442636965
hwu64,char_delete,10,0.06356877323420075,0.010332298966310249,0.056177491814097154,0.07096005465430434,0.05408646358222615,0.012006151732109373,0.04549778002653006,0.06267514713792224
hwu64,typo,10,0.05065055762081784,0.006276579798437052,0.04616056291612993,0.05514055232550575,0.03971438387540073,0.007243046934102765,0.034533020230820666,0.044895747519980794
hwu64,word_delete,10,0.018959107806691466,0.0066181909260106565,0.014224739222737355,0.023693476390645576,0.0037264086120017527,0.007652567178953382,-0.0017479081678669966,0.009200725391870501
