dataset,perturbation,seed,lr_accuracy,svm_accuracy,accuracy_difference,lr_retention,svm_retention,retention_difference,lr_relative_drop,svm_relative_drop
banking77,typo,1,0.7675324675324675,0.7951298701298701,0.02759740259740262,0.8937618147448015,0.8928180823915421,-0.0009437323532593966,0.1062381852551984,0.1071819176084579
banking77,typo,7,0.7665584415584416,0.7925324675324675,0.025974025974025983,0.8926275992438564,0.8899015676266862,-0.0027260316171702215,0.1073724007561436,0.1100984323733138
banking77,typo,21,0.7717532467532467,0.7977272727272727,0.025974025974025983,0.8986767485822307,0.8957345971563981,-0.00294215142583254,0.1013232514177693,0.1042654028436019
banking77,typo,42,0.759090909090909,0.787012987012987,0.027922077922078015,0.8839319470699433,0.8837039737513671,-0.00022797331857615788,0.1160680529300567,0.1162960262486328
banking77,typo,84,0.7607142857142857,0.798051948051948,0.037337662337662336,0.8858223062381853,0.8960991615020051,0.010276855263819829,0.1141776937618147,0.1039008384979949
banking77,typo,123,0.7623376623376623,0.799025974025974,0.03668831168831166,0.8877126654064272,0.897192854538826,0.009480189132398786,0.1122873345935727,0.1028071454611739
banking77,typo,256,0.762987012987013,0.7935064935064935,0.030519480519480502,0.888468809073724,0.8909952606635071,0.002526451589783041,0.1115311909262759,0.1090047393364929
banking77,typo,512,0.7646103896103896,0.798051948051948,0.03344155844155838,0.890359168241966,0.8960991615020051,0.005739993260039045,0.1096408317580339,0.1039008384979949
banking77,typo,1024,0.7704545454545455,0.7957792207792208,0.025324675324675305,0.8971644612476372,0.8935472110827561,-0.003617250164881014,0.1028355387523628,0.1064527889172438
banking77,typo,2026,0.762012987012987,0.7961038961038961,0.03409090909090906,0.8873345935727789,0.8939117754283631,0.006577181855584202,0.1126654064272211,0.1060882245716369
banking77,char_delete,1,0.7909090909090909,0.8191558441558442,0.028246753246753298,0.9209829867674858,0.91979584396646,-0.0011871428010258311,0.0790170132325141,0.0802041560335398
banking77,char_delete,7,0.8003246753246753,0.8295454545454546,0.02922077922077926,0.9319470699432892,0.9314619030258842,-0.00048516691740507767,0.0680529300567107,0.0685380969741158
banking77,char_delete,21,0.7931818181818182,0.8207792207792208,0.02759740259740262,0.9236294896030246,0.9216186656944952,-0.0020108239085293578,0.0763705103969753,0.0783813343055048
banking77,char_delete,42,0.7844155844155845,0.8133116883116883,0.028896103896103864,0.913421550094518,0.913233685745534,-0.0001878643489839904,0.0865784499054819,0.0867663142544659
banking77,char_delete,84,0.7896103896103897,0.8211038961038961,0.03149350649350646,0.9194706994328924,0.921983230040102,0.0025125306072095732,0.0805293005671076,0.0780167699598979
banking77,char_delete,123,0.7886363636363637,0.8175324675324676,0.028896103896103864,0.9183364839319472,0.9179730222384253,-0.00036346169352197144,0.0816635160680528,0.0820269777615749
