perturbation,n_pairs,tfidf_mean_accuracy,distilbert_mean_accuracy,mean_accuracy_difference,difference_std,ci_95_lower,ci_95_upper,tfidf_mean_drop,distilbert_mean_drop,extra_distilbert_drop,paired_t,p_value
typo,10,0.7648051948051948,0.6851298701298701,0.07967532467532466,0.0068962411293389285,0.07474205095821312,0.0846085983924362,0.0939610389610389,0.16551948051948048,0.07155844155844159,36.535192804604556,4.2709919330516065e-11
char_delete,10,0.7892207792207793,0.7391883116883117,0.05003246753246754,0.006229198813760842,0.04557636714237945,0.05448856792255563,0.06954545454545445,0.11146103896103891,0.041915584415584475,25.399181996167428,1.0936443978484957e-09
word_delete,10,0.7551298701298702,0.6964285714285714,0.058701298701298685,0.0048756582378754534,0.05521346290968172,0.06218913449291565,0.10363636363636355,0.15422077922077918,0.050584415584415635,38.07276811651084,2.953543032532447e-11
