dataset,perturbation,mean_accuracy_difference,accuracy_difference_std,mean_retention_difference,retention_difference_std
banking77,char_delete,0.030000000000000006,0.003667537986089077,0.0008517436030672454,0.004199970723315897
banking77,typo,0.030487012987012986,0.004587646891495605,0.0024143532221905573,0.005269420497771543
banking77,word_delete,0.02990259740259742,0.005820961669708725,0.0021606605437315186,0.0067424413767577926
clinc150,char_delete,0.022622222222222245,0.0026949121396307777,0.0027366894460596368,0.003009520030143579
clinc150,typo,0.021377777777777763,0.002323140582778544,0.002019016095463555,0.002541624695650639
clinc150,word_delete,0.024355555555555554,0.002345237125369475,0.005437314261669457,0.0025555476882956223
hwu64,char_delete,0.027602230483271362,0.008968388110927757,0.001571074430134789,0.010616357301423606
hwu64,typo,0.021840148698884766,0.006902812873344831,-0.00475675675675673,0.008192234967336787
hwu64,word_delete,0.02109665427509293,0.00859686358966851,-0.005419191003083601,0.010245988146952613
