dataset,perturbation,requested_severity,word_realized_severity,char_realized_severity,word_clean_accuracy,char_clean_accuracy,word_mean_accuracy,char_mean_accuracy,accuracy_difference,word_retention,char_retention,retention_difference,word_relative_drop,char_relative_drop
banking77,typo,0.05,0.050701290109163,0.050701290109163,0.8905844155844156,0.903896103896104,0.8692857142857143,0.8912337662337662,0.021948051948051828,0.9760845789281808,0.9859913793103448,0.00990680038216396,0.0239154210718191,0.0140086206896551
banking77,char_delete,0.05,0.0508145324890883,0.0508145324890883,0.8905844155844156,0.903896103896104,0.8724025974025974,0.8981818181818182,0.02577922077922079,0.979584396646008,0.9936781609195404,0.014093764273532372,0.0204156033539919,0.0063218390804597
banking77,word_delete,0.05,0.0505721230805715,0.0505721230805715,0.8905844155844156,0.903896103896104,0.8669480519480519,0.8784415584415584,0.011493506493506445,0.9734597156398104,0.97183908045977,-0.0016206351800404084,0.0265402843601895,0.0281609195402298
banking77,typo,0.1,0.1006682103870327,0.1006682103870327,0.8905844155844156,0.903896103896104,0.8471428571428572,0.8812012987012986,0.0340584415584414,0.9512212905577836,0.9748922413793104,0.023670950821526815,0.0487787094422165,0.0251077586206896
banking77,char_delete,0.1,0.1001352431302637,0.1001352431302637,0.8905844155844156,0.903896103896104,0.8555844155844156,0.8928896103896102,0.037305194805194675,0.9606999635435656,0.9878232758620692,0.027123312318503623,0.0393000364564345,0.012176724137931
banking77,word_delete,0.1,0.1004209402976225,0.1004209402976225,0.8905844155844156,0.903896103896104,0.8427597402597403,0.8516558441558442,0.008896103896103846,0.946299671892089,0.942205459770115,-0.004094212121973917,0.053700328107911,0.057794540229885
banking77,typo,0.2,0.2006086668871981,0.2006086668871981,0.8905844155844156,0.903896103896104,0.7952922077922079,0.853116883116883,0.05782467532467517,0.8930003645643456,0.9438218390804596,0.05082147451611396,0.1069996354356544,0.0561781609195401
banking77,char_delete,0.2,0.2006885104813426,0.2006885104813426,0.8905844155844156,0.903896103896104,0.8192207792207793,0.8843506493506492,0.06512987012986993,0.9198687568355816,0.9783764367816092,0.05850767994602768,0.0801312431644185,0.0216235632183907
banking77,word_delete,0.2,0.2001600758878283,0.2001600758878283,0.8905844155844156,0.903896103896104,0.7850324675324676,0.792142857142857,0.007110389610389456,0.8814801312431644,0.8763649425287356,-0.005115188714428731,0.1185198687568355,0.1236350574712643
banking77,typo,0.3,0.298617267614952,0.298617267614952,0.8905844155844156,0.903896103896104,0.7370454545454546,0.8233766233766234,0.08633116883116887,0.82759752096245,0.9109195402298852,0.08332201926743521,0.1724024790375501,0.0890804597701148
banking77,char_delete,0.3,0.2997356611544845,0.2997356611544845,0.8905844155844156,0.903896103896104,0.7724675324675325,0.8725649350649352,0.10009740259740263,0.8673714910681735,0.965337643678161,0.09796615260998753,0.1326285089318264,0.034662356321839
banking77,word_delete,0.3,0.300103752890259,0.300103752890259,0.8905844155844156,0.903896103896104,0.7171103896103896,0.7250974025974026,0.007987012987012987,0.8052132701421801,0.802191091954023,-0.0030221781881570875,0.1947867298578199,0.197808908045977
banking77,typo,0.4,0.3991597750578895,0.3991597750578895,0.8905844155844156,0.903896103896104,0.6613961038961039,0.7854545454545454,0.12405844155844148,0.7426540284360189,0.8689655172413794,0.12631148880536047,0.2573459715639811,0.1310344827586206
banking77,char_delete,0.4,0.4003995819757792,0.4003995819757792,0.8905844155844156,0.903896103896104,0.7180194805194804,0.8608441558441559,0.14282467532467547,0.8062340503098797,0.9523706896551724,0.14613663934529264,0.1937659496901203,0.0476293103448275
banking77,word_delete,0.4,0.4009752771684354,0.4009752771684354,0.8905844155844156,0.903896103896104,0.6425,0.6475,0.0050000000000000044,0.7214363835216917,0.7163433908045977,-0.005092992717093958,0.2785636164783084,0.2836566091954022
clinc150,typo,0.05,0.050568382612793,0.050568382612793,0.9113333333333332,0.9164444444444444,0.8892,0.902,0.012800000000000034,0.9757132406730064,0.9842386032977692,0.008525362624762889,0.0242867593269934,0.0157613967022307
clinc150,char_delete,0.05,0.0508597671686425,0.0508597671686425,0.9113333333333332,0.9164444444444444,0.8942444444444444,0.9091555555555556,0.014911111111111208,0.981248475981468,0.9920465567410284,0.010798080759560347,0.018751524018532,0.0079534432589718
clinc150,word_delete,0.05,0.0505578024483591,0.0505578024483591,0.9113333333333332,0.9164444444444444,0.8881555555555556,0.8916222222222222,0.003466666666666618,0.9745671787368936,0.9729146459747818,-0.001652532762111747,0.0254328212631065,0.0270853540252181
