dataset,perturbation,requested_severity,seed,word_accuracy,char_accuracy,accuracy_difference,word_retention,char_retention,retention_difference
banking77,word_delete,0.2,1024,0.7844155844155845,0.7876623376623376,0.0032467532467531646,0.8807874589865111,0.8714080459770115,-0.009379413009499626
banking77,word_delete,0.2,2026,0.7818181818181819,0.801948051948052,0.02012987012987011,0.8778709442216551,0.887212643678161,0.00934169945650587
banking77,typo,0.3,1,0.7525974025974026,0.8298701298701299,0.07727272727272727,0.8450601531170252,0.918103448275862,0.07304329515883679
banking77,typo,0.3,7,0.7311688311688311,0.8275974025974026,0.09642857142857142,0.8209989063069631,0.91558908045977,0.0945901741528069
banking77,typo,0.3,21,0.7344155844155844,0.8211038961038961,0.0866883116883117,0.8246445497630331,0.9084051724137931,0.08376062265076001
banking77,typo,0.3,42,0.7305194805194806,0.8181818181818182,0.08766233766233766,0.8202697776157493,0.9051724137931036,0.08490263617735438
banking77,typo,0.3,84,0.7353896103896104,0.8237012987012987,0.08831168831168834,0.8257382427998542,0.911278735632184,0.08554049283232978
banking77,typo,0.3,123,0.7461038961038962,0.8253246753246753,0.07922077922077919,0.8377688662048852,0.9130747126436782,0.07530584643879301
banking77,typo,0.3,256,0.7331168831168832,0.8155844155844156,0.08246753246753247,0.8231862923806053,0.9022988505747128,0.07911255819410756
banking77,typo,0.3,512,0.7314935064935065,0.8204545454545454,0.08896103896103891,0.8213634706525702,0.9076867816091954,0.08632331095662515
banking77,typo,0.3,1024,0.7331168831168832,0.8285714285714286,0.09545454545454546,0.8231862923806053,0.9166666666666669,0.0934803742860616
banking77,typo,0.3,2026,0.7425324675324675,0.8233766233766234,0.08084415584415594,0.8337586584032081,0.9109195402298852,0.07716088182667713
banking77,char_delete,0.3,1,0.7642857142857142,0.8779220779220779,0.11363636363636365,0.8581844695588771,0.971264367816092,0.11307989825721498
banking77,char_delete,0.3,7,0.7668831168831168,0.8730519480519481,0.10616883116883125,0.861100984323733,0.9658764367816092,0.10477545245787612
banking77,char_delete,0.3,21,0.7733766233766234,0.8668831168831169,0.09350649350649354,0.8683922712358731,0.9590517241379312,0.09065945290205801
banking77,char_delete,0.3,42,0.772077922077922,0.8743506493506493,0.10227272727272729,0.866934013853445,0.9673132183908046,0.1003792045373596
banking77,char_delete,0.3,84,0.7772727272727272,0.8733766233766234,0.09610389610389614,0.872767043383157,0.966235632183908,0.09346858880075093
banking77,char_delete,0.3,123,0.7753246753246753,0.8792207792207792,0.10389610389610393,0.8705796573095151,0.9727011494252874,0.10212149211577226
banking77,char_delete,0.3,256,0.772077922077922,0.8698051948051948,0.09772727272727277,0.866934013853445,0.9622844827586208,0.09535046890517573
banking77,char_delete,0.3,512,0.7769480519480519,0.8694805194805195,0.09253246753246758,0.8724024790375501,0.961925287356322,0.08952280831877191
banking77,char_delete,0.3,1024,0.7740259740259741,0.8714285714285714,0.09740259740259738,0.8691213999270871,0.964080459770115,0.09495905984302788
banking77,char_delete,0.3,2026,0.7724025974025974,0.8701298701298701,0.09772727272727266,0.8672985781990522,0.9626436781609196,0.09534509996186735
banking77,word_delete,0.3,1,0.7139610389610389,0.7230519480519481,0.00909090909090915,0.8016769959897921,0.7999281609195402,-0.0017488350702519195
banking77,word_delete,0.3,7,0.7227272727272728,0.7311688311688311,0.008441558441558361,0.8115202333211813,0.8089080459770115,-0.002612187344169792
banking77,word_delete,0.3,21,0.725,0.7344155844155844,0.009415584415584433,0.8140721837404301,0.8125,-0.0015721837404301109
banking77,word_delete,0.3,42,0.7165584415584415,0.7324675324675325,0.015909090909090984,0.8045935107546481,0.810344827586207,0.005751316831558828
banking77,word_delete,0.3,84,0.7022727272727273,0.7061688311688312,0.003896103896103953,0.7885526795479402,0.7812500000000001,-0.007302679547940061
banking77,word_delete,0.3,123,0.7133116883116883,0.7162337662337662,0.0029220779220778814,0.8009478672985783,0.7923850574712644,-0.008562809827313833
banking77,word_delete,0.3,256,0.7136363636363636,0.7103896103896103,-0.0032467532467532756,0.8013124316441852,0.7859195402298851,-0.015392891414300114
banking77,word_delete,0.3,512,0.7262987012987013,0.7396103896103896,0.013311688311688274,0.8155304411228582,0.8182471264367817,0.0027166853139234393
banking77,word_delete,0.3,1024,0.7133116883116883,0.7220779220779221,0.008766233766233755,0.8009478672985783,0.7988505747126438,-0.002097292585934496
banking77,word_delete,0.3,2026,0.724025974025974,0.7353896103896104,0.011363636363636354,0.8129784907036092,0.8135775862068966,0.0005990955032874057
banking77,typo,0.4,1,0.6607142857142857,0.785064935064935,0.12435064935064932,0.7418884433102443,0.8685344827586207,0.12664603944837638
banking77,typo,0.4,7,0.6555194805194805,0.7837662337662338,0.12824675324675328,0.7360554137805322,0.8670977011494253,0.13104228736889312
banking77,typo,0.4,21,0.6587662337662338,0.7840909090909091,0.12532467532467528,0.7397010572366023,0.8674568965517241,0.1277558393151218
banking77,typo,0.4,42,0.662987012987013,0.7883116883116883,0.12532467532467528,0.7444403937294933,0.8721264367816092,0.12768604305211584
