dataset,perturbation,seed,word_accuracy,char_accuracy,accuracy_difference,word_retention,char_retention,retention_difference,word_relative_drop,char_relative_drop,relative_drop_difference
banking77,typo,1,0.7951298701298701,0.8564935064935065,0.0613636363636364,0.8928180823915421,0.9475574712643678,0.0547393888728257,0.1071819176084579,0.0524425287356321,-0.0547393888728258
banking77,typo,7,0.7925324675324675,0.8483766233766233,0.05584415584415581,0.8899015676266862,0.9385775862068966,0.04867601858021042,0.1100984323733138,0.0614224137931034,-0.04867601858021041
banking77,typo,21,0.7977272727272727,0.8594155844155844,0.06168831168831168,0.8957345971563981,0.9507902298850576,0.05505563272865943,0.1042654028436019,0.0492097701149425,-0.055055632728659404
banking77,typo,42,0.787012987012987,0.8461038961038961,0.05909090909090908,0.8837039737513671,0.9360632183908046,0.05235924463943753,0.1162960262486328,0.0639367816091953,-0.0523592446394375
banking77,typo,84,0.798051948051948,0.8568181818181818,0.0587662337662338,0.8960991615020051,0.9479166666666669,0.05181750516466177,0.1039008384979949,0.0520833333333333,-0.051817505164661604
banking77,typo,123,0.799025974025974,0.8512987012987013,0.05227272727272736,0.897192854538826,0.9418103448275864,0.044617490288760386,0.1028071454611739,0.0581896551724137,-0.04461749028876019
banking77,typo,256,0.7935064935064935,0.8512987012987013,0.05779220779220784,0.8909952606635071,0.9418103448275864,0.050815084164079316,0.1090047393364929,0.0581896551724137,-0.050815084164079205
banking77,typo,512,0.798051948051948,0.862987012987013,0.06493506493506496,0.8960991615020051,0.9547413793103448,0.05864221780833967,0.1039008384979949,0.0452586206896551,-0.0586422178083398
banking77,typo,1024,0.7957792207792208,0.8506493506493507,0.05487012987012985,0.8935472110827561,0.9410919540229884,0.047544742940232254,0.1064527889172438,0.0589080459770114,-0.0475447429402324
banking77,typo,2026,0.7961038961038961,0.8477272727272728,0.05162337662337668,0.8939117754283631,0.9378591954022988,0.0439474199739357,0.1060882245716369,0.062140804597701,-0.0439474199739359
banking77,char_delete,1,0.8191558441558442,0.8896103896103896,0.07045454545454544,0.91979584396646,0.9841954022988506,0.06439955833239064,0.0802041560335398,0.0158045977011493,-0.0643995583323905
banking77,char_delete,7,0.8295454545454546,0.8860389610389611,0.056493506493506485,0.9314619030258842,0.9802442528735632,0.04878234984767904,0.0685380969741158,0.0197557471264367,-0.048782349847679096
banking77,char_delete,21,0.8207792207792208,0.8827922077922078,0.062012987012986964,0.9216186656944952,0.9766522988505748,0.055033633156079564,0.0783813343055048,0.0233477011494252,-0.0550336331560796
banking77,char_delete,42,0.8133116883116883,0.8818181818181818,0.06850649350649352,0.913233685745534,0.9755747126436782,0.06234102689814425,0.0867663142544659,0.0244252873563217,-0.062341026898144206
banking77,char_delete,84,0.8211038961038961,0.8837662337662338,0.06266233766233764,0.921983230040102,0.9777298850574712,0.055746655017369195,0.0780167699598979,0.0222701149425287,-0.055746655017369195
banking77,char_delete,123,0.8175324675324676,0.8853896103896104,0.06785714285714284,0.9179730222384253,0.9795258620689656,0.061552839830540385,0.0820269777615749,0.0204741379310344,-0.0615528398305405
banking77,char_delete,256,0.8123376623376624,0.8814935064935064,0.06915584415584408,0.9121399927087132,0.9752155172413792,0.06307552453266607,0.0878600072912868,0.0247844827586207,-0.0630755245326661
banking77,char_delete,512,0.8224025974025974,0.8873376623376623,0.06493506493506496,0.92344148742253,0.9816810344827588,0.058239547060228825,0.0765585125774699,0.0183189655172413,-0.0582395470602286
banking77,char_delete,1024,0.8159090909090909,0.8857142857142857,0.06980519480519476,0.91615020051039,0.9798850574712644,0.06373485696087444,0.0838497994896099,0.0201149425287356,-0.0637348569608743
banking77,char_delete,2026,0.8201298701298702,0.8795454545454545,0.059415584415584366,0.9208895370032812,0.9730603448275862,0.05217080782430494,0.0791104629967189,0.0269396551724137,-0.05217080782430519
banking77,word_delete,1,0.7899350649350649,0.7915584415584416,0.0016233766233766378,0.8869850528618302,0.8757183908045978,-0.011266662057232368,0.1130149471381699,0.1242816091954022,0.011266662057232299
banking77,word_delete,7,0.7876623376623376,0.7948051948051948,0.0071428571428572285,0.8844331024425811,0.8793103448275863,-0.005122757614994811,0.1155668975574189,0.1206896551724137,0.005122757614994797
banking77,word_delete,21,0.7912337662337663,0.7961038961038961,0.004870129870129802,0.8884433102442582,0.8807471264367817,-0.007696183807476498,0.1115566897557418,0.1192528735632183,0.007696183807476498
banking77,word_delete,42,0.7805194805194805,0.7967532467532468,0.016233766233766267,0.8764126868392271,0.8814655172413793,0.005052830402152209,0.1235873131607729,0.1185344827586206,-0.005052830402152306
banking77,word_delete,84,0.7831168831168831,0.7905844155844156,0.007467532467532512,0.8793292016040831,0.8746408045977012,-0.004688397006381906,0.1206707983959169,0.1253591954022987,0.004688397006381795
banking77,word_delete,123,0.7831168831168831,0.787012987012987,0.003896103896103953,0.8793292016040831,0.8706896551724139,-0.008639546431669198,0.1206707983959169,0.1293103448275861,0.008639546431669198
banking77,word_delete,256,0.7792207792207793,0.7853896103896104,0.006168831168831157,0.8749544294567991,0.8688936781609196,-0.006060751295879574,0.1250455705432008,0.1311063218390804,0.006060751295879574
banking77,word_delete,512,0.7892857142857143,0.7896103896103897,0.00032467532467539417,0.886255924170616,0.8735632183908046,-0.012692705779811408,0.1137440758293839,0.1264367816091953,0.012692705779811408
banking77,word_delete,1024,0.7844155844155845,0.7876623376623376,0.0032467532467531646,0.8807874589865111,0.8714080459770115,-0.009379413009499626,0.1192125410134888,0.1285919540229885,0.00937941300949971
banking77,word_delete,2026,0.7818181818181819,0.801948051948052,0.02012987012987011,0.8778709442216551,0.887212643678161,0.00934169945650587,0.1221290557783448,0.112787356321839,-0.0093416994565058
clinc150,typo,1,0.8113333333333334,0.8568888888888889,0.04555555555555557,0.8902706656912949,0.9350145489815712,0.04474388329027634,0.1097293343087051,0.0649854510184286,-0.044743883290276495
clinc150,typo,7,0.8135555555555556,0.8553333333333333,0.04177777777777769,0.8927090953425995,0.933317167798254,0.040608072455654565,0.1072909046574006,0.0666828322017458,-0.0406080724556548
clinc150,typo,21,0.8024444444444444,0.8446666666666667,0.04222222222222227,0.8805169470860765,0.921677982541222,0.04116103545514549,0.1194830529139234,0.0783220174587778,-0.0411610354551456
clinc150,typo,42,0.8148888888888889,0.8608888888888889,0.04600000000000004,0.894172153133382,0.9393792434529584,0.04520709031957637,0.1058278468666178,0.0606207565470416,-0.0452070903195762
clinc150,typo,84,0.8082222222222222,0.8506666666666667,0.04244444444444451,0.8868568641794684,0.9282250242483028,0.04136816006883437,0.1131431358205316,0.0717749757516973,-0.0413681600688343
clinc150,typo,123,0.8168888888888889,0.8548888888888889,0.038000000000000034,0.8963667398195562,0.932832201745878,0.03646546192632183,0.1036332601804437,0.0671677982541221,-0.03646546192632161
clinc150,typo,256,0.814,0.8535555555555555,0.039555555555555566,0.8931967812728602,0.9313773035887488,0.03818052231588864,0.1068032187271397,0.0686226964112512,-0.038180522315888504
clinc150,typo,512,0.8142222222222222,0.854,0.0397777777777778,0.8934406242379906,0.9318622696411252,0.03842164540313453,0.1065593757620093,0.0681377303588748,-0.0384216454031345
clinc150,typo,1024,0.8093333333333333,0.8628888888888889,0.05355555555555558,0.8880760790051208,0.941561590688652,0.05348551168353122,0.1119239209948792,0.0584384093113481,-0.053485511683531106
clinc150,typo,2026,0.8068888888888889,0.8486666666666667,0.0417777777777778,0.8853938063886857,0.9260426770126092,0.04064887062392353,0.1146061936113143,0.0739573229873908,-0.0406488706239235
clinc150,char_delete,1,0.8315555555555556,0.89,0.05844444444444441,0.9124603755181664,0.9711445198836082,0.05868414436544178,0.0875396244818336,0.0288554801163917,-0.05868414436544189
clinc150,char_delete,7,0.8373333333333334,0.8875555555555555,0.05022222222222217,0.9188002926115582,0.9684772065955384,0.04967691398398022,0.0811997073884417,0.0315227934044616,-0.0496769139839801
