dataset,model,clean_accuracy,clean_macro_f1,mean_perturbed_accuracy,mean_accuracy_retention,mean_relative_drop,mean_absolute_drop,model_label
banking77,tfidf_logreg,0.8587662337662337,0.8580606803068603,0.7697186147186148,0.8963074984247008,0.10369250157529923,0.089047619047619,Logistic Regression
banking77,tfidf_svm,0.8905844155844156,0.890564926750871,0.7998484848484849,0.8981164175476972,0.10188358245230279,0.09073593073593071,Linear SVM
clinc150,tfidf_logreg,0.8893333333333333,0.8883183672063039,0.7959037037037037,0.894944194569382,0.10505580543061797,0.09342962962962957,Logistic Regression
clinc150,tfidf_svm,0.9113333333333332,0.91037402044688,0.8186888888888889,0.898341867837113,0.10165813216288706,0.0926444444444444,Linear SVM
hwu64,tfidf_logreg,0.8308550185873605,0.8252101219652914,0.7491945477075589,0.9017151379567488,0.0982848620432512,0.08166047087980167,Logistic Regression
hwu64,tfidf_svm,0.8596654275092936,0.8581994479322234,0.7727075588599752,0.898846846846847,0.1011531531531531,0.08695786864931837,Linear SVM
