dataset,word_clean_accuracy,char_clean_accuracy,clean_accuracy_difference
banking77,0.8905844155844156,0.903896103896104,0.013311688311688386
clinc150,0.9113333333333332,0.9164444444444444,0.005111111111111177
hwu64,0.8596654275092936,0.8773234200743495,0.017657992565055847
