dataset,perturbation,requested_severity,n,mean_accuracy_difference,accuracy_difference_std,accuracy_difference_ci_lower,accuracy_difference_ci_upper,mean_retention_difference,retention_difference_std,retention_difference_ci_lower,retention_difference_ci_upper
banking77,word_delete,0.4,10,0.0050000000000000044,0.005009314612343747,0.0014165521978801421,0.008583447802119866,-0.005092992717093836,0.005598248187802229,-0.009097738219575918,-0.0010882472146117534
clinc150,char_delete,0.05,10,0.014911111111111153,0.0017574454587458912,0.013653910365330497,0.01616831185689181,0.010798080759560236,0.00192597783265215,0.009420319216226106,0.012175842302894365
clinc150,char_delete,0.1,10,0.027488888888888886,0.002559685337314544,0.025657800305729075,0.029319977472048696,0.024638894821376156,0.002796831410403069,0.022638162157108645,0.026639627485643667
clinc150,char_delete,0.2,10,0.05284444444444444,0.0030895194311576293,0.050634335383235266,0.05505455350565361,0.05254460540602938,0.0033834557828655164,0.05012422694571015,0.054964983866348606
clinc150,char_delete,0.3,10,0.08193333333333333,0.003149759935982605,0.07968013081097845,0.08418653585568821,0.0845500056644414,0.0034322802771100626,0.0820947002649838,0.087005311063899
clinc150,char_delete,0.4,10,0.11755555555555557,0.00587384521528858,0.11335365981619613,0.121757451294915,0.12373363668249641,0.006441292241991584,0.11912581379381247,0.12834145957118037
clinc150,typo,0.05,10,0.012799999999999988,0.002540643557152287,0.010982533085781225,0.014617466914218752,0.008525362624762611,0.0027845241184286614,0.006533434066802792,0.01051729118272243
clinc150,typo,0.1,10,0.021888888888888867,0.0021114359724057944,0.020378458584513495,0.02339931919326424,0.01860012733758728,0.002309166511487379,0.016948249126558596,0.02025200554861596
clinc150,typo,0.2,10,0.043066666666666684,0.004447899891305191,0.03988483076235535,0.04624850257097802,0.042029025354228686,0.00486041969980529,0.03855209055605711,0.045505960152400264
clinc150,typo,0.3,10,0.06875555555555556,0.003077775549315024,0.0665538475613254,0.07095726354978571,0.07046110917566184,0.003366211877939492,0.06805306626181734,0.07286915208950634
clinc150,typo,0.4,10,0.0994888888888889,0.003714133462864856,0.09683195786653179,0.10214581991124602,0.10445467512714253,0.004061872393662575,0.10154898665916441,0.10736036359512065
clinc150,word_delete,0.05,10,0.0034666666666666847,0.002331157127439528,0.0017990573166500815,0.005134276016683288,-0.0016525327621116138,0.0025577111841406956,-0.0034822091211650667,0.0001771435969418391
clinc150,word_delete,0.1,10,0.00022222222222223476,0.0024701232593382313,-0.001544797509944136,0.0019892419543886056,-0.005052711233403106,0.0027150735288813846,-0.006994957832506548,-0.003110464634299665
clinc150,word_delete,0.2,10,0.0006666666666667043,0.0027337247536660812,-0.001288922214891281,0.0026222555482246896,-0.004220960750743019,0.003001716330068363,-0.006368259257222342,-0.0020736622442636965
clinc150,word_delete,0.3,10,-0.0014666666666666717,0.004091142696077816,-0.004393293847617381,0.0014599605142840378,-0.0061367363026358255,0.004463534197539694,-0.009329756315882074,-0.002943716289389577
clinc150,word_delete,0.4,10,0.004977777777777781,0.004310576522792235,0.0018941770934833412,0.00806137846207222,0.0013849854699393815,0.00472661031540162,-0.001996227861015349,0.004766198800894112
hwu64,char_delete,0.05,10,0.028624535315985133,0.004755039369107783,0.025222985065131487,0.03202608556683878,0.012917773705909264,0.00553950605954895,0.008955049790544577,0.01688049762127395
hwu64,char_delete,0.1,10,0.04247211895910781,0.0039197840366509504,0.03966807437857598,0.04527616353963964,0.02920865781035258,0.004519602935420177,0.025975528638254468,0.03244178698245069
hwu64,char_delete,0.2,10,0.06356877323420075,0.010332298966310249,0.056177491814097154,0.07096005465430434,0.05408646358222615,0.012006151732109373,0.04549778002653006,0.06267514713792224
hwu64,char_delete,0.3,10,0.0938661710037175,0.005071470118880072,0.09023825983075277,0.09749408217668222,0.08979099862574429,0.005890377488242196,0.08557727641075609,0.09400472084073248
hwu64,char_delete,0.4,10,0.13057620817843865,0.00898121995930872,0.12415143045650559,0.1370009859003717,0.1328048557031607,0.010368178795976835,0.12538790739912006,0.14022180400720133
hwu64,typo,0.05,10,0.025092936802973965,0.004179286729625766,0.02210325517890462,0.02808261842704331,0.008981562070545023,0.004855421892708003,0.005508202488195197,0.01245492165289485
hwu64,typo,0.1,10,0.03131970260223049,0.006844171410187396,0.026423677318305958,0.03621572788615503,0.016533783783783684,0.007879513962128359,0.010897119055282888,0.02217044851228448
hwu64,typo,0.2,10,0.05065055762081784,0.006276579798437052,0.04616056291612993,0.05514055232550575,0.03971438387540073,0.007243046934102765,0.034533020230820666,0.044895747519980794
hwu64,typo,0.3,10,0.07202602230483271,0.010526001863712497,0.06449617417936589,0.07955587043029953,0.06539521300961972,0.012282682987520164,0.05660871091064877,0.07418171510859066
hwu64,typo,0.4,10,0.09879182156133831,0.010124473115265648,0.0915492097990187,0.10603443332365792,0.09745075584058632,0.011863972072224555,0.08896378148647739,0.10593773019469525
hwu64,word_delete,0.05,10,0.017565055762081803,0.005836056310423236,0.013390192576786863,0.021739918947376743,0.00044239578561612315,0.006745275635490968,-0.004382883722908004,0.005267675294140251
hwu64,word_delete,0.1,10,0.015985130111524172,0.006161615806915364,0.011577375692109256,0.020392884530939088,-0.000910215300045869,0.007125638946310749,-0.006007590329742793,0.004187159729651055
hwu64,word_delete,0.2,10,0.018959107806691466,0.0066181909260106565,0.014224739222737355,0.023693476390645576,0.0037264086120017527,0.007652567178953382,-0.0017479081678669966,0.009200725391870501
hwu64,word_delete,0.3,10,0.018773234200743505,0.009445273358195548,0.012016492675177588,0.025529975726309422,0.0049288822721025305,0.010968595531387128,-0.002917578290074224,0.012775342834279285
hwu64,word_delete,0.4,10,0.02109665427509295,0.0120543487940286,0.012473492618305439,0.029719815931880465,0.00905462666055883,0.013947386753690571,-0.0009227327739374895,0.01903198609505515
