perturbation,requested_severity,mean_word_retention,mean_char_retention,mean_retention_difference,mean_accuracy_difference
char_delete,0.05,0.9800253719569064,0.9926285782032404,0.012603206246333968,0.023104955735439026
char_delete,0.1,0.9583846400201446,0.9853749283368888,0.026990288316744215,0.03575540088439725
char_delete,0.2,0.9167599147559278,0.9718061644006889,0.055046249644761125,0.060514362602838344
char_delete,0.3,0.8640724146389509,0.9548414669390087,0.09076905230005776,0.09196563564481779
char_delete,0.4,0.8055624844124378,0.9397875283227544,0.1342250439103165,0.1303188130195566
typo,0.05,0.9755362101373327,0.98467411849649,0.009137908359157362,0.01994699625034191
typo,0.1,0.9503208335593086,0.9699224542069412,0.019601620647632528,0.029089011016520245
typo,0.2,0.8927811944744307,0.9369694890563453,0.04418829458191446,0.05051396653738668
typo,0.3,0.8252086813330065,0.8982681284839122,0.07305944715090566,0.0757042488971857
typo,0.4,0.7438889972184244,0.8532946371427875,0.10940563992436314,0.10744638400288957
word_delete,0.05,0.9735945503778202,0.9726509596589749,-0.0009435907188453108,0.010841742974084986
word_delete,0.1,0.9487458372356773,0.94539345768387,-0.0033523795518074864,0.00836781874328348
word_delete,0.2,0.8857640230012983,0.8838941093835752,-0.0018699136177233362,0.008912054694582597
word_delete,0.3,0.8122901730660376,0.8108801623264741,-0.0014100107395635202,0.008431193507029958
word_delete,0.4,0.7306267918095806,0.7324089982807154,0.0017822064711348062,0.010358144017623508
