run,seed,train_fraction,train_samples,accuracy,macro_f1
1,1,0.6,6001,0.825,0.8229331255825818
2,7,0.6,6001,0.8305194805194805,0.8281847640369151
3,21,0.6,6001,0.8363636363636363,0.8338422071157218
4,42,0.6,6001,0.8256493506493506,0.8225705246490644
5,84,0.6,6001,0.8237012987012987,0.8205601785063387
6,123,0.6,6001,0.8237012987012987,0.8206117285659004
7,256,0.6,6001,0.8220779220779221,0.8199077745880924
8,512,0.6,6001,0.8243506493506494,0.8215676948665871
9,1024,0.6,6001,0.825974025974026,0.8225498138442504
10,2026,0.6,6001,0.826948051948052,0.8244655867602915
