run,seed,train_fraction,train_samples,accuracy,macro_f1
1,1,0.2,2000,0.7113636363636363,0.6985899018465983
2,7,0.2,2000,0.7116883116883117,0.6977464789104868
3,21,0.2,2000,0.7168831168831169,0.7054052554123611
4,42,0.2,2000,0.7055194805194805,0.6915864418671789
5,84,0.2,2000,0.7227272727272728,0.7100641358124179
6,123,0.2,2000,0.7185064935064935,0.7040759287850076
7,256,0.2,2000,0.7185064935064935,0.7039714431300313
8,512,0.2,2000,0.7185064935064935,0.7054421896875456
9,1024,0.2,2000,0.7185064935064935,0.7031734585507182
10,2026,0.2,2000,0.702922077922078,0.6877112965308072
