dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
clinc150,tfidf_svm,typo,1,1,0.3,0.2977676993756626,0.7448888888888889,0.7486040403030183,0.1664444444444444,0.16176998014386157,0.8173616191172886,0.18263838088271148
clinc150,tfidf_svm,typo,2,7,0.3,0.30109553539875133,0.7437777777777778,0.7469603273694033,0.16755555555555557,0.16341369307747655,0.8161424042916362,0.18385759570836382
clinc150,tfidf_svm,typo,3,21,0.3,0.3010071857698198,0.7462222222222222,0.7485331718459107,0.1651111111111111,0.16184084860096914,0.8188246769080713,0.1811753230919288
clinc150,tfidf_svm,typo,4,42,0.3,0.29664860407586285,0.7502222222222222,0.7537557070238821,0.1611111111111111,0.1566183134229978,0.8232138502804194,0.17678614971958057
clinc150,tfidf_svm,typo,5,84,0.3,0.29779714925197315,0.7495555555555555,0.7521051078461513,0.1617777777777778,0.15826891260072862,0.822482321385028,0.17751767861497197
clinc150,tfidf_svm,typo,6,123,0.3,0.29921074331487807,0.7417777777777778,0.7451159498887652,0.16955555555555557,0.1652580705581147,0.8139478176054621,0.18605218239453794
clinc150,tfidf_svm,typo,7,256,0.3,0.3004181882436094,0.7451111111111111,0.7481856977130719,0.16622222222222227,0.162188322733808,0.8176054620824189,0.18239453791758115
clinc150,tfidf_svm,typo,8,512,0.3,0.3002120391094357,0.7495555555555555,0.7527283142466255,0.1617777777777778,0.15764570620025442,0.822482321385028,0.17751767861497197
clinc150,tfidf_svm,typo,9,1024,0.3,0.29326186830015316,0.7444444444444445,0.7472140957106522,0.16688888888888886,0.16315992473622765,0.8168739331870276,0.18312606681297242
clinc150,tfidf_svm,typo,10,2026,0.3,0.3011838850276829,0.7408888888888889,0.7446165696270977,0.1704444444444444,0.16575745081978221,0.8129724457449403,0.18702755425505968
clinc150,tfidf_svm,char_delete,1,1,0.3,0.2951511267756061,0.7893333333333333,0.7892579797642664,0.122,0.1211160406826135,0.8661302121433797,0.13386978785662035
clinc150,tfidf_svm,char_delete,2,7,0.3,0.3013991242123251,0.7922222222222223,0.7917705889171177,0.11911111111111106,0.11860343152976216,0.8693001706900757,0.13069982930992435
clinc150,tfidf_svm,char_delete,3,21,0.3,0.3039624052120047,0.7964444444444444,0.796669073168408,0.11488888888888893,0.11370494727847191,0.8739331870275542,0.1260668129724458
clinc150,tfidf_svm,char_delete,4,42,0.3,0.30428281533696466,0.7946666666666666,0.7945336380069631,0.1166666666666667,0.11584038243991679,0.8719824433065105,0.12801755669348944
clinc150,tfidf_svm,char_delete,5,84,0.3,0.30107871408736514,0.7924444444444444,0.7930211075095508,0.11888888888888893,0.11735291293732908,0.869544013655206,0.130455986344794
clinc150,tfidf_svm,char_delete,6,123,0.3,0.2981416212752323,0.794,0.7939074300600203,0.11733333333333329,0.11646659038685958,0.8712509144111192,0.1287490855888807
clinc150,tfidf_svm,char_delete,7,256,0.3,0.30054469721243193,0.7913333333333333,0.7915239088866618,0.12,0.11885011156021807,0.8683247988295538,0.13167520117044623
clinc150,tfidf_svm,char_delete,8,512,0.3,0.29803481790024566,0.7924444444444444,0.7924898929648792,0.11888888888888893,0.11788412748200072,0.869544013655206,0.130455986344794
clinc150,tfidf_svm,char_delete,9,1024,0.3,0.29232083733845987,0.8008888888888889,0.8012395320767215,0.11044444444444446,0.10913448837015838,0.8788100463301634,0.12118995366983663
clinc150,tfidf_svm,char_delete,10,2026,0.3,0.3019865427747517,0.7871111111111111,0.7874834384081336,0.12422222222222223,0.12289058203874625,0.8636917824920751,0.1363082175079249
clinc150,tfidf_svm,word_delete,1,1,0.3,0.2998018511983931,0.7317777777777777,0.7333644121927303,0.17955555555555558,0.17700960825414958,0.8029748841745915,0.19702511582540846
clinc150,tfidf_svm,word_delete,2,7,0.3,0.30042615564181213,0.7442222222222222,0.7460879879776872,0.1671111111111111,0.1642860324691927,0.8166300902218971,0.18336990977810289
clinc150,tfidf_svm,word_delete,3,21,0.3,0.2996932765125811,0.7455555555555555,0.7476345208607023,0.1657777777777778,0.16273949958617762,0.8180931480126798,0.1819068519873202
clinc150,tfidf_svm,word_delete,4,42,0.3,0.2984718112971961,0.7424444444444445,0.7439581726366631,0.16888888888888887,0.1664158478102168,0.8146793465008535,0.18532065349914653
clinc150,tfidf_svm,word_delete,5,84,0.3,0.296897478352922,0.7393333333333333,0.7402967567751637,0.17200000000000004,0.17007726367171616,0.811265544989027,0.18873445501097297
clinc150,tfidf_svm,word_delete,6,123,0.3,0.30029043728454713,0.7462222222222222,0.7476257711894756,0.1651111111111111,0.16274824925740428,0.8188246769080713,0.1811753230919288
clinc150,tfidf_svm,word_delete,7,256,0.3,0.30140332781412016,0.7435555555555555,0.745740152304983,0.1677777777777778,0.16463386814189684,0.8158985613265057,0.1841014386734943
clinc150,tfidf_svm,word_delete,8,512,0.3,0.3003718682989061,0.7377777777777778,0.7396507003305323,0.17355555555555557,0.1707233201163476,0.8095586442331139,0.19044135576688614
clinc150,tfidf_svm,word_delete,9,1024,0.3,0.29779321951087107,0.7422222222222222,0.744378925234765,0.1691111111111111,0.16599509521211486,0.814435503535723,0.185564496464277
clinc150,tfidf_svm,word_delete,10,2026,0.3,0.3003447246274531,0.7395555555555555,0.7411560385241817,0.1717777777777778,0.1692179819226982,0.8115093879541575,0.1884906120458425
