training_seed,condition,perturbation,perturbation_seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
2026,clean,clean,,0.0,0.0,0.8428571428571429,0.833511600039623,0.0,0.0,1.0,0.0
2026,perturbed,typo,1.0,0.2,0.2012570294409527,0.6831168831168831,0.6686933944594277,0.15974025974025974,0.16481820558019533,0.810477657935285,0.18952234206471494
2026,perturbed,typo,7.0,0.2,0.20317565332451207,0.6811688311688312,0.6712039675477744,0.16168831168831166,0.16230763249184854,0.8081664098613252,0.19183359013867485
2026,perturbed,typo,21.0,0.2,0.199900760833609,0.689935064935065,0.6771160043269453,0.1529220779220779,0.1563955957126777,0.8185670261941449,0.18143297380585513
2026,perturbed,typo,42.0,0.2,0.20264637777042674,0.6756493506493506,0.6644601821397162,0.16720779220779225,0.16905141789990674,0.801617873651772,0.1983821263482281
2026,perturbed,typo,84.0,0.2,0.19870989083691698,0.6896103896103896,0.6771877251237363,0.1532467532467533,0.15632387491588673,0.8181818181818181,0.18181818181818188
2026,perturbed,typo,123.0,0.2,0.1988422097254383,0.687012987012987,0.6783717310984413,0.1558441558441559,0.1551398689411817,0.8151001540832049,0.18489984591679512
2026,perturbed,typo,256.0,0.2,0.20251405888190538,0.6876623376623376,0.6767159568811943,0.15519480519480522,0.15679564315842864,0.8158705701078582,0.1841294298921418
2026,perturbed,typo,512.0,0.2,0.19986768111147865,0.6928571428571428,0.6794222111191056,0.15000000000000002,0.15408938892051738,0.8220338983050847,0.17796610169491528
2026,perturbed,typo,1024.0,0.2,0.19831293417135296,0.6944805194805195,0.6831001824016326,0.14837662337662338,0.15041141763799037,0.823959938366718,0.17604006163328198
2026,perturbed,typo,2026.0,0.2,0.2008600727753887,0.6831168831168831,0.673089533625953,0.15974025974025974,0.16042206641366996,0.810477657935285,0.18952234206471494
2026,perturbed,char_delete,1.0,0.2,0.20052867769103092,0.7402597402597403,0.7298762254851354,0.10259740259740258,0.10363537455448757,0.8782742681047766,0.1217257318952234
2026,perturbed,char_delete,7.0,0.2,0.20237290219462717,0.7422077922077922,0.7312691487524778,0.10064935064935066,0.10224245128714515,0.8805855161787365,0.11941448382126349
2026,perturbed,char_delete,21.0,0.2,0.20089752259175017,0.737987012987013,0.7287877941248148,0.10487012987012989,0.10472380591480823,0.8755778120184899,0.12442218798151004
2026,perturbed,char_delete,42.0,0.2,0.2044630232987029,0.7435064935064936,0.7323766006808091,0.0993506493506493,0.10113499935881387,0.8821263482280433,0.1178736517719568
2026,perturbed,char_delete,84.0,0.2,0.19677875453371857,0.7483766233766234,0.738949131815354,0.0944805194805195,0.09456246822426895,0.887904468412943,0.11209553158705703
2026,perturbed,char_delete,123.0,0.2,0.19751644433515705,0.7438311688311688,0.7333752224281674,0.09902597402597402,0.10013637761145555,0.8825115562403698,0.11748844375963019
2026,perturbed,char_delete,256.0,0.2,0.20114341919222967,0.737012987012987,0.7268437620574139,0.10584415584415585,0.10666783798220913,0.8744221879815101,0.12557781201849
2026,perturbed,char_delete,512.0,0.2,0.20194258314378805,0.7519480519480519,0.7414696884826658,0.09090909090909094,0.09204191155695718,0.8921417565485362,0.10785824345146383
2026,perturbed,char_delete,1024.0,0.2,0.19561074568144096,0.737012987012987,0.7279893720874518,0.10584415584415585,0.10552222795217114,0.8744221879815101,0.12557781201849
2026,perturbed,char_delete,2026.0,0.2,0.20563103215098053,0.7353896103896104,0.7235681100663807,0.10746753246753249,0.10994348997324233,0.8724961479198767,0.1275038520801233
2026,perturbed,word_delete,1.0,0.2,0.2012213197367641,0.6912337662337662,0.6836201856689245,0.15162337662337666,0.14989141437069853,0.8201078582434514,0.17989214175654858
2026,perturbed,word_delete,7.0,0.2,0.20062844607814076,0.685064935064935,0.6790224683703142,0.15779220779220782,0.15448913166930878,0.8127889060092449,0.18721109399075503
2026,perturbed,word_delete,21.0,0.2,0.1994130550779629,0.6977272727272728,0.6925725800803583,0.1451298701298701,0.14093901995926472,0.8278120184899846,0.17218798151001538
2026,perturbed,word_delete,42.0,0.2,0.20125096341969526,0.6847402597402598,0.6788776997846524,0.1581168831168831,0.1546339002549706,0.8124036979969184,0.18759630200308164
2026,perturbed,word_delete,84.0,0.2,0.197841939882611,0.6974025974025974,0.6899120500593932,0.1454545454545455,0.14359954998022983,0.8274268104776579,0.17257318952234213
2026,perturbed,word_delete,123.0,0.2,0.2023774233710796,0.6837662337662338,0.6788057445606489,0.15909090909090906,0.15470585547897409,0.8112480739599384,0.1887519260400616
2026,perturbed,word_delete,256.0,0.2,0.20225884863935495,0.6892857142857143,0.6810370744306017,0.15357142857142858,0.1524745256090213,0.8177966101694916,0.1822033898305085
2026,perturbed,word_delete,512.0,0.2,0.1982273077607162,0.6964285714285714,0.6903194587434731,0.14642857142857146,0.14319214129614988,0.8262711864406779,0.17372881355932207
2026,perturbed,word_delete,1024.0,0.2,0.197664077785024,0.6814935064935065,0.6760687595879232,0.16136363636363638,0.15744284045169976,0.8085516178736517,0.19144838212634824
2026,perturbed,word_delete,2026.0,0.2,0.20071737712693424,0.7,0.6944163765660014,0.1428571428571429,0.13909522347362158,0.8305084745762711,0.16949152542372886
